hourly.dewpoint_2m,hourly.apparent_temperature,hourly.precipitation,hourly.time,hourly.freezinglevel_height,hourly.snow_height,hourly.relativehumidity_2m,hourly.temperature_2m,hourly.pressure_msl,hourly.weathercode,generationtime_ms,longitude,hourly_units.snow_height,hourly_units.freezinglevel_height,hourly_units.apparent_temperature,hourly_units.pressure_msl,hourly_units.time,hourly_units.temperature_2m,hourly_units.precipitation,hourly_units.dewpoint_2m,hourly_units.relativehumidity_2m,hourly_units.weathercode,elevation,latitude,utc_offset_seconds
4.6,3.2,0,2021-11-22T00:00,1032,0,95,5.3,1014.2,2,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
3.8,1.9,0,2021-11-22T01:00,1013,0,96,4.4,1015.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
3.6,1.6,0,2021-11-22T02:00,970,0,97,4.1,1016.2,2,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
3.6,1.7,0,2021-11-22T03:00,950,0,95,4.4,1016.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
4,2,0,2021-11-22T04:00,846,0,95,4.6,1016.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
3.7,1.9,0,2021-11-22T05:00,775,0,94,4.7,1017.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
3.2,1.4,0,2021-11-22T06:00,747,0,91,4.5,1019.2,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
2.5,1.2,0,2021-11-22T07:00,761,0,88,4.4,1020.2,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
1.8,0.2,0,2021-11-22T08:00,722,0,89,3.5,1020.7,2,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
1.5,-0.1,0,2021-11-22T09:00,725,0,88,3.3,1021.2,1,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
1,0.3,0,2021-11-22T10:00,668,0,82,3.8,1022.7,1,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
0.6,1.2,0,2021-11-22T11:00,651,0,75,4.6,1022.7,2,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
0.4,1.7,0,2021-11-22T12:00,560,0,70,5.4,1023.7,2,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
-0.2,1.7,0,2021-11-22T13:00,559,0,66,5.6,1023.7,2,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
-1.8,1.2,0,2021-11-22T14:00,550,0,60,5.4,1024.2,2,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
-2.7,0.9,0,2021-11-22T15:00,548,0,57,5.1,1024.2,2,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
-3,0.6,0,2021-11-22T16:00,530,0,59,4.3,1024.7,1,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
-1.9,0,0,2021-11-22T17:00,545,0,69,3.3,1025.2,0,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
-1.5,-0.9,0,2021-11-22T18:00,535,0,75,2.4,1025.7,0,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
-1.4,-1.4,0,2021-11-22T19:00,551,0,80,1.8,1025.7,0,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
-1.3,-1.9,0,2021-11-22T20:00,577,0,83,1.3,1026.2,0,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
-1.4,-2.3,0,2021-11-22T21:00,585,0,85,0.9,1026.7,1,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
-1.1,-2.5,0,2021-11-22T22:00,655,0,88,0.7,1026.7,0,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
-0.7,-2.6,0,2021-11-22T23:00,727,0,92,0.6,1026.7,0,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
-0.4,-2.7,0,2021-11-23T00:00,801,0,94,0.5,1026.7,1,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
-0.5,-2.6,0,2021-11-23T01:00,1026,0,91,0.7,1026.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
-0.4,-2.1,0,2021-11-23T02:00,1052,0,88,1.3,1026.2,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
-0.3,-1.6,0,2021-11-23T03:00,1099,0,85,2,1025.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
0.4,-0.9,0.14,2021-11-23T04:00,1303,0,86,2.5,1025.7,61,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
0.9,-0.3,0.08,2021-11-23T05:00,1325,0,86,3.1,1025.2,61,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
1.2,-0.2,0,2021-11-23T06:00,1260,0,85,3.4,1025.2,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
1.5,0.1,0,2021-11-23T07:00,1253,0,86,3.6,1025.2,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
1.8,0.5,0,2021-11-23T08:00,1263,0,87,3.8,1025.2,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
2.3,1,0,2021-11-23T09:00,1193,0,88,4.1,1025.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
2.9,1.7,0,2021-11-23T10:00,1212,0,88,4.7,1025.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
3.6,2.4,0,2021-11-23T11:00,1204,0,89,5.3,1025.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
4.3,2.9,0.01,2021-11-23T12:00,2184,0,88,6.2,1025.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
4.6,3.6,0,2021-11-23T13:00,1202,0,85,6.9,1025.2,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
4.7,4.7,0,2021-11-23T14:00,2062,0,82,7.5,1025.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.2,5.2,0,2021-11-23T15:00,2108,0,84,7.7,1025.7,2,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.5,4.8,0,2021-11-23T16:00,2286,0,89,7.2,1025.2,2,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.5,4.2,0,2021-11-23T17:00,2284,0,93,6.5,1025.7,2,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.5,4,0,2021-11-23T18:00,2390,0,94,6.4,1025.2,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.5,4,0.02,2021-11-23T19:00,2462,0,93,6.5,1025.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.5,3.9,0.01,2021-11-23T20:00,2326,0,94,6.3,1025.2,2,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.3,3.5,0,2021-11-23T21:00,2430,0,95,6,1025.2,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.3,3.5,0,2021-11-23T22:00,1229,0,95,6.1,1025.2,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.5,3.7,0,2021-11-23T23:00,2398,0,95,6.2,1025.2,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.5,3.6,0,2021-11-24T00:00,2432,0,96,6.1,1024.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.5,3.5,0,2021-11-24T01:00,2366,0,96,6.1,1024.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.6,3.5,0,2021-11-24T02:00,2252,0,97,6,1024.2,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.4,3.4,0,2021-11-24T03:00,2338,0,97,5.9,1024.2,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.2,3.4,0,2021-11-24T04:00,2438,0,97,5.7,1023.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.3,3.5,0,2021-11-24T05:00,2562,0,96,5.8,1023.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.4,3.5,0,2021-11-24T06:00,2664,0,97,5.9,1023.2,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.5,3.7,0.09,2021-11-24T07:00,2710,0,96,6,1023.2,61,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.5,3.8,0.08,2021-11-24T08:00,2704,0,96,6.1,1023.2,61,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.6,4,0,2021-11-24T09:00,2650,0,95,6.3,1022.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
5.5,4.2,0,2021-11-24T10:00,2670,0,91,6.8,1022.7,3,2.8690099716186523,13.419998,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,44.8125,52.52,3600
